Table Names-1,Title,Author,Price,ISBN,Previous Rank,Weeks of list,Rank,Table Names,File Paths
ABA Bestsellers 02-28-18.xlsx/Feb 28,Still Me,Jojo Moyes,27,9780399562457,9,4,9,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Origin,Dan Brown,29.95,9780385514231,8,21,10,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,How to Stop Time,Matt Haig,26,9780525522874,15,2,11,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Manhattan Beach,Jennifer Egan,27,9781476716732,11,21,12,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,White Houses,Amy Bloom,27,9780812995664,12,2,13,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Asymmetry,Lisa Halliday,26,9781501166761,,1,14,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Artemis,Andy Weir,27,9780553448122,,14,15,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Fire and Fury,Michael Wolff,30,9781250158062,1,8,1,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Astrophysics for People in a Hurry,Neil deGrasse Tyson,18.95,9780393609394,2,43,2,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Subtle Art of Not Giving A F*ck,Mark Manson,24.99,9780062457714,3,47,3,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Educated: A Memoir,Tara Westover,28,9780399590504,,1,4,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Enlightenment Now,Steven Pinker,35,9780525427575,6,2,5,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Leonardo da Vinci,Walter Isaacson,35,9781501139154,7,19,6,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,12 Rules for Life,Jordan B. Peterson,25.95,9780345816023,8,2,7,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Last Black Unicorn,Tiffany Haddish,26,9781501181825,5,9,8,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Hillbilly Elegy,J.D. Vance,27.99,9780062300546,9,78,9,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Killers of the Flower Moon,David Grann,28.95,9780385534246,12,34,10,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Principles,Ray Dalio,30,9781501124020,14,14,11,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Monk of Mokha,Dave Eggers,28.95,9781101947319,4,4,12,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Obama: An Intimate Portrait,Pete Souza,50,9780316512589,11,10,13,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,What Are We Doing Here?: Essays,Marilynne Robinson,27,9780374282219,,1,14,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Feel Free,Zadie Smith,28,9781594206252,,2,15,Hardcover Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,No Middle Name,Lee Child,9.99,9780399593598,1,8,1,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Ready Player One,Ernest Cline,9.99,9780804190145,2,3,2,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Whistler,John Grisham,9.99,9781101967683,3,33,3,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Red Sparrow,Jason Matthews,9.99,9781501168918,,1,4,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Never Never,James Patterson,9.99,9781478944782,6,9,5,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,1984,George Orwell,9.99,9780451524935,10,176,6,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Husband's Secret,Liane Moriarty,9.99,9780451490049,5,32,7,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Dragon Teeth,Michael Crichton,9.99,9780062473363,4,13,8,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Against All Odds,Danielle Steel,8.99,9781101883938,9,5,9,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,What Alice Forgot,Liane Moriarty,9.99,9780451490445,8,8,10,Mass Market,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Lincoln in the Bardo,George Saunders,17,9780812985405,1,3,1,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Underground Railroad,Colson Whitehead,16.95,9780345804327,2,4,2,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Pachinko,Min Jin Lee,15.99,9781455563920,4,15,3,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Beartown,Fredrik Backman,17,9781501160776,3,3,4,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Ready Player One,Ernest Cline,16,9780804190138,8,3,5,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Women in the Castle,Jessica Shattuck,16.99,9780062563675,9,8,6,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Woman in Cabin 10,Ruth Ware,16,9781501132957,5,46,7,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Sun and Her Flowers,Rupi Kaur,16.99,9781449486792,11,21,8,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,We Were the Lucky Ones,Georgia Hunter,16,9780399563096,7,8,9,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Small Great Things,Jodi Picoult,17,9780345544971,,1,10,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Handmaid's Tale,Margaret Atwood,15.95,9780525435006,10,44,11,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,All the Light We Cannot See,Anthony Doerr,17,9781501173219,6,47,12,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Couple Next Door,Shari Lapena,16,9780735221109,14,39,13,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Call Me by Your Name,Andre Aciman,17,9781250169440,12,7,14,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Milk and Honey,Rupi Kaur,14.99,9781449474256,13,77,15,Trade Paperback Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,You Are a Badass,Jen Sincero,16,9780762447695,1,136,1,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Stranger in the Woods: The Extraordinary Story of the Last True Hermit,Michael Finkel,16,9781101911532,,1,2,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Silk Roads,Peter Frankopan,20,9781101912379,2,13,3,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,12 Strong,Doug Stanton,18,9781501178511,3,9,4,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Invisible Influence,Jonah Berger,16,9781476759739,4,36,5,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Being Mortal,Atul Gawande,16,9781250076229,5,25,6,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,HBR's 10 Must Reads on Emotional Intelligence,Harvard Business School Press,24.95,9781633690196,6,78,7,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,HBR's 10 Must Reads on Managing Yourself,Harvard Business School Press,24.95,9781422157992,7,58,8,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Evicted,Matthew Desmond,17,9780553447453,8,41,9,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,On Tyranny,Timothy Snyder,7.99,9780804190114,14,49,10,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Start With Why,Simon Sinek,16,9781591846444,12,4,11,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Leaders Eat Last,Simon Sinek,17,9781591848011,,3,12,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Undoing Project,Michael Lewis,16.95,9780393354775,13,17,13,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Lost City of the Monkey God,Douglas J. Preston,15.99,9781455540013,11,24,14,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Janesville: An American Story,Amy Goldstein,16,9781501102264,,1,15,Trade Paperback Nonfiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Hate U Give,Angie Thomas,17.99,9780062498533,,,1,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Turtles All the Way Down,John Green,19.99,9780525555360,,,2,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Every Day,David Levithan,10.99,9780525581611,,,3,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,10.99,9780062792167,,,4,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Prince and the Dressmaker,Jen Wang,16.99,9781626723634,,,5,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Book of Dust: La Belle Sauvage,Philip Pullman,22.99,9780375815300,,,6,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,"Everything, Everything",Nicola Yoon,10.99,9781524769604,,,7,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Tempests and Slaughter,Tamora Pierce,18.99,9780375847110,,,8,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,One of Us Is Lying,Karen M. McManus,17.99,9781524714680,,,9,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Book Thief,Markus Zusak,12.99,9780385754729,,,10,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Dear Martin,Nic Stone,17.99,9781101939499,,,11,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Fault in Our Stars,John Green,12.99,9780142424179,,,12,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Warcross,Marie Lu,18.99,9780399547966,,,13,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Cruel Prince,Holly Black,18.99,9780316310277,,,14,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Sun Is Also a Star,Nicola Yoon,18.99,9780553496680,,,15,Young Adult,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,A Wrinkle in Time,Madeleine L'Engle,8.99,9781250153272,,,1,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Wonder,R.J. Palacio,16.99,9781524720193,,,2,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Girl Who Drank the Moon,Kelly Barnhill,16.95,9781616205676,,,3,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Auggie & Me,R.J. Palacio,16.99,9781101934852,,,4,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,"Hello, Universe",Erin Entrada Kelly & Isabel Roxas (Illus.),16.99,9780062414151,,,5,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,All's Faire in Middle School,Victoria Jamieson,12.99,9780525429999,,,6,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Drama,Raina Telgemeier,10.99,9780545326995,,,7,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Sisters,Raina Telgemeier,10.99,9780545540605,,,8,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Wishtree,Katherine Applegate,16.99,9781250043221,,,9,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The War That Saved My Life,Kimberly Brubaker Bradley,8.99,9780147510488,,,10,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Smile,Raina Telgemeier,10.99,9780545132060,,,11,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Black Panther: The Young Prince,Ronald L. Smith,16.99,9781484787649,,,12,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Marvel's Black Panther: The Junior Novel,Jim McCann,6.99,9780316413206,,,13,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Ghosts,Raina Telgemeier,10.99,9780545540629,,,14,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Roller Girl,Victoria Jamieson,12.99,9780803740167,,,15,Early & Middle,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,An American Marriage,Tayari Jones,26.95,9781616208776,2,2,1,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Great Alone,Kristin Hannah,28.99,9780312577230,1,2,2,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Woman in the Window,A.J. Finn,26.99,9780062678416,3,7,3,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Little Fires Everywhere,Celeste Ng,27,9780735224292,6,23,4,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,A Gentleman in Moscow,Amor Towles,27,9780670026197,4,76,5,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Immortalists,Chloe Benjamin,26,9780735213180,5,6,6,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,"Sing, Unburied, Sing",Jesmyn Ward,26,9781501126062,7,20,7,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Origin,Dan Brown,29.95,9780385514231,9,20,8,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Still Me,Jojo Moyes,27,9780399562457,8,3,9,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Power,Naomi Alderman,26,9780316547611,11,7,10,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Manhattan Beach,Jennifer Egan,27,9781476716732,14,20,11,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,White Houses,Amy Bloom,27,9780812995664,,1,12,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Wife Between Us,Greer Hendricks,26.99,9781250130921,10,6,13,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Rooster Bar,John Grisham,28.95,9780385541176,12,17,14,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,How to Stop Time,Matt Haig,26,9780525522874,,1,15,Hardcover Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Fire and Fury,Michael Wolff,30,9781250158062,1,7,1,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Astrophysics for People in a Hurry,Neil deGrasse Tyson,18.95,9780393609394,2,42,2,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Subtle Art of Not Giving A F*ck,Mark Manson,24.99,9780062457714,3,46,3,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Monk of Mokha,Dave Eggers,28.95,9781101947319,6,3,4,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Last Black Unicorn,Tiffany Haddish,26,9781501181825,5,8,5,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,35,9780525427575,,1,6,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Leonardo da Vinci,Walter Isaacson,35,9781501139154,4,18,7,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,25.95,9780345816023,,1,8,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Hillbilly Elegy,J.D. Vance,27.99,9780062300546,11,77,9,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Book of Joy,The Dalai Lama,26,9780399185045,14,48,10,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Obama: An Intimate Portrait,Pete Souza,50,9780316512589,8,9,11,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Killers of the Flower Moon,David Grann,28.95,9780385534246,7,33,12,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,How Democracies Die,Steven Levitsky,26,9781524762933,10,4,13,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Principles,Ray Dalio,30,9781501124020,9,13,14,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,When,Daniel H. Pink,28,9780735210622,12,6,15,Hardcover Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,No Middle Name,Lee Child,9.99,9780399593598,1,7,1,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Ready Player One,Ernest Cline,9.99,9780804190145,2,2,2,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Whistler,John Grisham,9.99,9781101967683,3,32,3,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Dragon Teeth,Michael Crichton,9.99,9780062473363,5,12,4,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Husband's Secret,Liane Moriarty,9.99,9780451490049,6,31,5,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Never Never,James Patterson,9.99,9781478944782,4,8,6,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,12 Strong,Doug Stanton,9.99,9781501179952,,7,7,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,What Alice Forgot,Liane Moriarty,9.99,9780451490445,9,7,8,Mass Market,ABA Bestsellers 02-21-18.xlsx
